#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.281124E-02   0.186596E+06   0.186018E+06   0.196752E+06   0.190221E+06   0.000000E+00   0.186506E+06   0.186506E+06   0.193672E+06  -0.588480E+00   0.185694E+06   0.185531E+06   0.121977E+03
   0.310691E-02   0.185959E+06   0.185253E+06   0.185906E+06   0.178427E+06   0.000000E+00   0.185848E+06   0.185848E+06   0.192599E+06  -0.585019E+00   0.185043E+06   0.184845E+06   0.134220E+03
   0.343366E-02   0.185192E+06   0.184331E+06   0.173359E+06   0.164927E+06   0.000000E+00   0.185056E+06   0.185056E+06   0.191330E+06  -0.580907E+00   0.184258E+06   0.184017E+06   0.147557E+03
   0.379478E-02   0.184271E+06   0.183224E+06   0.159027E+06   0.149706E+06   0.000000E+00   0.184107E+06   0.184107E+06   0.189838E+06  -0.576051E+00   0.183312E+06   0.183020E+06   0.162047E+03
   0.419388E-02   0.183172E+06   0.181897E+06   0.142913E+06   0.132869E+06   0.000000E+00   0.182972E+06   0.182972E+06   0.188097E+06  -0.570356E+00   0.182178E+06   0.181824E+06   0.177733E+03
   0.463496E-02   0.181865E+06   0.180313E+06   0.125154E+06   0.114685E+06   0.000000E+00   0.181621E+06   0.181621E+06   0.186084E+06  -0.563733E+00   0.180821E+06   0.180393E+06   0.194646E+03
   0.512242E-02   0.180318E+06   0.178432E+06   0.106072E+06   0.956324E+05   0.000000E+00   0.180021E+06   0.180021E+06   0.183780E+06  -0.556107E+00   0.179208E+06   0.178691E+06   0.212800E+03
   0.566115E-02   0.178499E+06   0.176209E+06   0.862228E+05   0.764355E+05   0.000000E+00   0.178139E+06   0.178139E+06   0.181175E+06  -0.547424E+00   0.177299E+06   0.176675E+06   0.232180E+03
   0.625654E-02   0.176377E+06   0.173599E+06   0.664320E+05   0.580524E+05   0.000000E+00   0.175940E+06   0.175940E+06   0.178267E+06  -0.537666E+00   0.175056E+06   0.174305E+06   0.252747E+03
   0.691455E-02   0.173920E+06   0.170557E+06   0.477812E+05   0.416018E+05   0.000000E+00   0.173392E+06   0.173392E+06   0.175063E+06  -0.526857E+00   0.172441E+06   0.171541E+06   0.274428E+03
   0.764175E-02   0.171103E+06   0.167038E+06   0.315192E+05   0.281885E+05   0.000000E+00   0.170465E+06   0.170465E+06   0.171578E+06  -0.515066E+00   0.169423E+06   0.168346E+06   0.297118E+03
   0.844545E-02   0.167907E+06   0.163003E+06   0.188572E+05   0.186209E+05   0.000000E+00   0.167136E+06   0.167136E+06   0.167829E+06  -0.502400E+00   0.165977E+06   0.164692E+06   0.320678E+03
   0.933366E-02   0.164317E+06   0.158417E+06   0.106405E+05   0.130692E+05   0.000000E+00   0.163390E+06   0.163390E+06   0.163820E+06  -0.488974E+00   0.162090E+06   0.160562E+06   0.344936E+03
   0.103153E-01   0.160332E+06   0.153254E+06   0.694755E+04   0.108050E+05   0.000000E+00   0.159220E+06   0.159220E+06   0.159534E+06  -0.474877E+00   0.157764E+06   0.155955E+06   0.369676E+03
   0.114002E-01   0.155953E+06   0.147492E+06   0.678490E+04   0.102558E+05   0.000000E+00   0.154623E+06   0.154623E+06   0.154926E+06  -0.460119E+00   0.153017E+06   0.150883E+06   0.394624E+03
   0.125991E-01   0.151186E+06   0.141116E+06   0.815437E+04   0.958328E+04   0.000000E+00   0.149604E+06   0.149604E+06   0.149926E+06  -0.444598E+00   0.147873E+06   0.145366E+06   0.419409E+03
   0.139242E-01   0.146038E+06   0.134112E+06   0.876065E+04   0.769647E+04   0.000000E+00   0.144164E+06   0.144164E+06   0.144471E+06  -0.428123E+00   0.142359E+06   0.139428E+06   0.443502E+03
   0.153886E-01   0.140511E+06   0.126473E+06   0.728772E+04   0.503540E+04   0.000000E+00   0.138305E+06   0.138305E+06   0.138540E+06  -0.410491E+00   0.136489E+06   0.133085E+06   0.466145E+03
   0.170070E-01   0.134606E+06   0.118203E+06   0.446215E+04   0.311587E+04   0.000000E+00   0.132029E+06   0.132029E+06   0.132173E+06  -0.391603E+00   0.130265E+06   0.126340E+06   0.486292E+03
   0.187957E-01   0.128330E+06   0.109332E+06   0.288066E+04   0.287331E+04   0.000000E+00   0.125345E+06   0.125345E+06   0.125451E+06  -0.371417E+00   0.123665E+06   0.119183E+06   0.502608E+03
   0.207724E-01   0.121698E+06   0.999279E+05   0.222773E+04   0.222210E+04   0.000000E+00   0.118277E+06   0.118277E+06   0.118359E+06  -0.350303E+00   0.116721E+06   0.111660E+06   0.513529E+03
   0.229571E-01   0.114744E+06   0.901209E+05   0.171012E+04   0.170583E+04   0.000000E+00   0.110874E+06   0.110874E+06   0.110937E+06  -0.328245E+00   0.109469E+06   0.103834E+06   0.517297E+03
   0.253715E-01   0.107514E+06   0.801067E+05   0.130274E+04   0.129950E+04   0.000000E+00   0.103207E+06   0.103207E+06   0.103255E+06  -0.305445E+00   0.101968E+06   0.958048E+05   0.511987E+03
   0.280399E-01   0.100081E+06   0.701653E+05   0.984797E+03   0.982371E+03   0.000000E+00   0.953800E+05   0.953800E+05   0.954164E+05  -0.282202E+00   0.943122E+05   0.877171E+05   0.495707E+03
   0.309888E-01   0.925451E+05   0.606678E+05   0.739127E+03   0.737321E+03   0.000000E+00   0.875358E+05   0.875358E+05   0.875631E+05  -0.258933E+00   0.866300E+05   0.797651E+05   0.466886E+03
   0.342480E-01   0.850396E+05   0.520644E+05   0.551514E+03   0.550176E+03   0.000000E+00   0.798578E+05   0.798578E+05   0.798781E+05  -0.236175E+00   0.790898E+05   0.721884E+05   0.424699E+03
   0.378499E-01   0.777165E+05   0.448296E+05   0.410093E+03   0.409103E+03   0.000000E+00   0.725486E+05   0.725486E+05   0.725637E+05  -0.214522E+00   0.718777E+05   0.652396E+05   0.369627E+03
   0.418306E-01   0.707225E+05   0.393625E+05   0.304853E+03   0.304119E+03   0.000000E+00   0.657945E+05   0.657945E+05   0.658057E+05  -0.194523E+00   0.651647E+05   0.591301E+05   0.304045E+03
   0.462300E-01   0.642807E+05   0.359635E+05   0.227619E+03   0.227069E+03   0.000000E+00   0.598309E+05   0.598309E+05   0.598393E+05  -0.176869E+00   0.591912E+05   0.540906E+05   0.232533E+03
   0.510920E-01   0.584762E+05   0.344859E+05   0.171202E+03   0.170785E+03   0.000000E+00   0.547063E+05   0.547063E+05   0.547127E+05  -0.161703E+00   0.540125E+05   0.500829E+05   0.162097E+03
   0.564654E-01   0.532669E+05   0.342553E+05   0.129627E+03   0.129308E+03   0.000000E+00   0.502793E+05   0.502793E+05   0.502841E+05  -0.148605E+00   0.495051E+05   0.467927E+05   0.101238E+03
   0.624039E-01   0.486178E+05   0.342397E+05   0.984014E+02   0.981571E+02   0.000000E+00   0.463584E+05   0.463584E+05   0.463621E+05  -0.137007E+00   0.455299E+05   0.438172E+05   0.578438E+02
   0.689670E-01   0.442265E+05   0.330254E+05   0.740324E+02   0.738477E+02   0.000000E+00   0.424663E+05   0.424663E+05   0.424690E+05  -0.125497E+00   0.416488E+05   0.404576E+05   0.364007E+02
   0.762203E-01   0.398800E+05   0.296973E+05   0.545815E+02   0.544458E+02   0.000000E+00   0.382798E+05   0.382798E+05   0.382818E+05  -0.113121E+00   0.375629E+05   0.363016E+05   0.348758E+02
   0.842364E-01   0.354990E+05   0.244761E+05   0.392120E+02   0.391157E+02   0.000000E+00   0.337669E+05   0.337669E+05   0.337683E+05  -0.997823E-01   0.332178E+05   0.314656E+05   0.438397E+02
